image_id,error_type,iou,gt_quadrant,gt_enumeration,gt_diagnosis,pred_quadrant,pred_enumeration,pred_diagnosis
1,quadrant_error,0.8703177315170127,3.0,7.0,0.0,1.0,7.0,0.0
1,quadrant_error,0.8157352450734257,2.0,7.0,0.0,0.0,7.0,0.0
1,quadrant_error,0.8760366520806502,0.0,7.0,0.0,2.0,7.0,0.0
1,quadrant_error,0.7392465341996658,3.0,5.0,1.0,0.0,5.0,1.0
1,quadrant_error,0.8202713421441747,0.0,5.0,1.0,2.0,5.0,1.0
1,quadrant_error,0.8384338801138704,2.0,5.0,1.0,0.0,5.0,1.0
1,quadrant_error,0.8352852405675688,1.0,7.0,0.0,3.0,7.0,0.0
1,false_positive,,,,,0.0,6.0,1.0
1,false_positive,,,,,0.0,5.0,3.0
1,false_positive,,,,,2.0,6.0,1.0
1,false_positive,,,,,2.0,6.0,3.0
1,false_positive,,,,,1.0,6.0,1.0
1,false_positive,,,,,3.0,7.0,3.0
1,false_positive,,,,,3.0,5.0,1.0
1,false_positive,,,,,0.0,5.0,1.0
1,false_positive,,,,,3.0,5.0,1.0
1,false_positive,,,,,0.0,5.0,1.0
1,false_positive,,,,,0.0,5.0,2.0
2,quadrant_error,0.8771990035596383,3.0,7.0,0.0,2.0,7.0,0.0
2,quadrant_error,0.658174603776951,0.0,7.0,0.0,2.0,7.0,0.0
2,quadrant_error,0.8798099307624433,2.0,7.0,0.0,0.0,7.0,0.0
2,quadrant_error,0.8809319976288349,1.0,7.0,0.0,3.0,7.0,0.0
2,false_negative_or_localisation_failure,0.34042302175628775,2.0,4.0,2.0,,,
2,false_positive,,,,,1.0,6.0,1.0
2,false_positive,,,,,0.0,6.0,1.0
2,false_positive,,,,,1.0,6.0,1.0
2,false_positive,,,,,0.0,6.0,1.0
2,false_positive,,,,,3.0,7.0,1.0
2,false_positive,,,,,2.0,7.0,1.0
2,false_positive,,,,,0.0,6.0,2.0
2,false_positive,,,,,3.0,7.0,3.0
2,false_positive,,,,,2.0,7.0,1.0
3,quadrant_error,0.885708662904895,0.0,6.0,3.0,1.0,5.0,1.0
3,quadrant_error,0.951905238759814,0.0,5.0,1.0,1.0,5.0,1.0
3,enumeration_error,0.7144914676127496,2.0,3.0,1.0,3.0,5.0,1.0
3,quadrant_error,0.9560450899759543,2.0,5.0,1.0,3.0,5.0,1.0
3,enumeration_error,0.9047253699348669,1.0,5.0,1.0,0.0,6.0,1.0
3,false_negative_or_localisation_failure,0.3423207594506264,3.0,3.0,1.0,,,
3,false_positive,,,,,1.0,5.0,3.0
3,false_positive,,,,,2.0,6.0,1.0
3,false_positive,,,,,3.0,5.0,1.0
3,false_positive,,,,,3.0,7.0,1.0
3,false_positive,,,,,0.0,6.0,1.0
3,false_positive,,,,,3.0,7.0,1.0
3,false_positive,,,,,1.0,7.0,1.0
3,false_positive,,,,,1.0,6.0,1.0
3,false_positive,,,,,3.0,5.0,1.0
3,false_positive,,,,,0.0,6.0,3.0
3,false_positive,,,,,3.0,4.0,1.0
3,false_positive,,,,,2.0,6.0,3.0
4,quadrant_error,0.7429226076007264,3.0,3.0,2.0,1.0,3.0,2.0
4,quadrant_error,0.7295657024043027,2.0,3.0,2.0,3.0,3.0,2.0
4,diagnosis_error,0.8908150230932876,3.0,2.0,1.0,0.0,2.0,3.0
4,quadrant_error,0.6378699575381532,2.0,2.0,3.0,0.0,3.0,1.0
4,false_negative_or_localisation_failure,0.09405672805307154,2.0,1.0,3.0,,,
4,false_positive,,,,,0.0,3.0,3.0
4,false_positive,,,,,0.0,2.0,2.0
4,false_positive,,,,,2.0,4.0,1.0
4,false_positive,,,,,0.0,3.0,2.0
4,false_positive,,,,,3.0,3.0,2.0
4,false_positive,,,,,1.0,3.0,1.0
4,false_positive,,,,,3.0,3.0,2.0
5,diagnosis_error,0.864664804700428,1.0,6.0,1.0,0.0,6.0,3.0
5,quadrant_error,0.8043822778248884,2.0,5.0,1.0,3.0,5.0,1.0
5,false_positive,,,,,0.0,6.0,1.0
5,false_positive,,,,,3.0,7.0,1.0
5,false_positive,,,,,1.0,6.0,1.0
5,false_positive,,,,,3.0,5.0,1.0
5,false_positive,,,,,1.0,6.0,1.0
5,false_positive,,,,,1.0,5.0,1.0
5,false_positive,,,,,0.0,6.0,1.0
5,false_positive,,,,,1.0,6.0,3.0
6,enumeration_error,0.7806276505885286,0.0,6.0,1.0,1.0,7.0,1.0
6,diagnosis_error,0.835126267309396,0.0,7.0,3.0,1.0,7.0,1.0
6,quadrant_error,0.8124976310284098,2.0,6.0,1.0,3.0,6.0,1.0
6,diagnosis_error,0.7578416135790842,2.0,7.0,0.0,3.0,7.0,1.0
6,diagnosis_error,0.8359294313085142,3.0,5.0,1.0,2.0,5.0,2.0
6,diagnosis_error,0.8150853198056898,3.0,7.0,0.0,1.0,7.0,3.0
